Name,Rating,Address
Roti Satkar,"3.9(1,916)","No. 242/A, Kaggadasapura Main Rd, Vignan Nagar, Malleshpalya, Kaggadasapura, Bengaluru, Karnataka 560075"
"Hitchki, Whitefield","4.2(1,476)","Ground Flr, Phoenix Market City, Whitefield Main Rd, Mall, Mahadevapura, Bengaluru, Karnataka 560066"
Swaad Darbaar,4.6(703),"78, ITPL Main Rd, next to Manipal Hospital 1, KIADB Export Promotion Industrial Area, Krishnarajapuram, Bengaluru, Karnataka 560048"
Aanchal Punjabi cafe,4.1(127),"29 2nd cross, Whitefield Main Rd, RHB Colony, Mahadevapura, Karnataka 560048"
Delight Grand Restaurant,4.8(23),"6th, 6th Cross Rd, KGF cross, near Pragathi school, Srr Layout, Anjappa Layout, B Narayanapura, Bengaluru, Karnataka 560048"
Skygarden Best Rooftop Bar & Kitchen Restaurant,"4.2(5,743)","Metro station, 3rd floor HVP Aster, ITPL Main Rd, near Garudacharpalya, Kaveri Nagar, Krishnarajapuram, Bengaluru, Karnataka 560048"
GK's bar and restaurant,3.9(62),"XMQJ+GF4, Kaggadasapura to Outer Ring Rd, B K Abbaiah Layout, B Narayanapura, Mahadevapura, Bengaluru, Karnataka 560093"
Empire Restaurant Cloud Kitchen,4.0(611),"21, Whitefield Main Rd, Garudachar Palya, Mahadevapura, Bengaluru, Karnataka 560048"
Basota Cafe,3.8(164),"2, Outer Ring Rd, Opp. Indian Petrol Pump, Chinnappa Layout, Chinappa Layout, Mahadevapura, Bengaluru, Karnataka 560048"
Hangry Panda,4.5(87),"Ground Floor, Naveen Castle, 3, 3rd Cross Rd, Mahadevapura, Bengaluru, Karnataka 560048"
SR Verma's Food Court,4.4(32),"2/3/4, 2nd Cross, 6th Main Rd, Kamadhenu Nagar, B Narayanapura, Mahadevapura, Bengaluru, Karnataka 560016"
Galaxy,4.4(183),"XMR9+M5M, Pai Layout, Mahadevapura, Bengaluru, Karnataka 560016"
Pinds of Punjab Ayappa nagar,4.3(838),"Shop No1, Site No1, Kodigehalli Main Rd, Ayyappa Nagar, Krishnarajapuram, Bengaluru, Karnataka 560036"
Noodle Bar,"4.4(1,970)","3rd Cross Rd, Devasandra Industrial Estate, Krishnarajapuram, Bengaluru, Karnataka 560048"
